iter	Logloss
0	0.690616009
1	0.6883685869
2	0.686052572
3	0.6836218352
4	0.6813998446
5	0.6793222724
6	0.6777313891
7	0.6761413508
8	0.6744174552
9	0.6727637032
10	0.6715904787
11	0.6708364622
12	0.6696435732
13	0.6687673891
14	0.6677071318
15	0.6669753723
16	0.6661643832
17	0.6655102346
18	0.6648993462
19	0.6644320054
20	0.663691971
21	0.6632610145
22	0.6627828511
23	0.6623971485
24	0.6618052544
25	0.661360274
26	0.6609685932
27	0.660543172
28	0.6602137474
29	0.6599101055
30	0.6596367964
31	0.6594822594
32	0.6591133021
33	0.6589381714
34	0.6587185971
35	0.6585265521
36	0.6584678057
37	0.6584134775
38	0.6582193018
39	0.6580866997
40	0.6579625256
41	0.6577036953
42	0.6574275997
43	0.6571937573
44	0.6570773412
45	0.6569928571
46	0.6568030331
47	0.6566352281
48	0.6566201382
49	0.6564216854
50	0.6563068021
51	0.6562707153
52	0.6561605022
53	0.655983341
54	0.6557359094
55	0.6556680632
56	0.6556523092
57	0.6555362537
58	0.6554068724
59	0.6553446605
60	0.6552063619
61	0.6551119728
62	0.6550378309
63	0.6548541333
64	0.6546139247
65	0.6545441511
66	0.6545000515
67	0.6544821994
68	0.6544608145
69	0.6544114169
70	0.6543839837
71	0.6543626073
72	0.6542842971
73	0.6541961378
74	0.6541192016
75	0.6540703696
76	0.6540502306
77	0.6539844754
78	0.6539844753
79	0.6539784872
80	0.6539495594
81	0.6539185729
82	0.6539030821
83	0.6538524435
84	0.6537840761
85	0.6537458817
86	0.6537190563
87	0.6537081204
88	0.6535603318
89	0.6534872761
90	0.6534872761
91	0.6533506996
92	0.6532501534
93	0.6532009075
94	0.6531811514
95	0.6531564698
96	0.653000004
97	0.6529894581
98	0.6529373012
99	0.6529290005
100	0.6529198762
101	0.6529132839
102	0.6529131934
103	0.6528661981
104	0.6528661981
105	0.6528661981
106	0.6527784735
107	0.6527439483
108	0.6526736797
109	0.6525700786
110	0.6525079252
111	0.6524336124
112	0.652411607
113	0.6523803801
114	0.6523467931
115	0.6523467931
116	0.6523467931
117	0.6523230464
118	0.6523172317
119	0.6523169853
120	0.6522073849
121	0.652142979
122	0.6521032171
123	0.6520499892
124	0.6519865088
125	0.6519112348
126	0.6518538817
127	0.6518505561
128	0.651850556
129	0.6518150621
130	0.6518150621
131	0.6517743346
132	0.6517294234
133	0.6516620291
134	0.6516166934
135	0.6516012583
136	0.6515569282
137	0.6515552108
138	0.651505357
139	0.6514855879
140	0.6514855879
141	0.6514814889
142	0.6514802311
143	0.6514435085
144	0.6513841076
145	0.65137646
146	0.6513314498
147	0.6513283597
148	0.6513229228
149	0.6512898146
150	0.6512665469
151	0.6512470815
152	0.6512376492
153	0.6512340843
154	0.6512088528
155	0.6510930384
156	0.6510930384
157	0.651012704
158	0.6509902011
159	0.6509604063
160	0.6509081732
161	0.6508848566
162	0.6508258245
163	0.6508111834
164	0.6508102766
165	0.6507455697
166	0.6506952742
167	0.6506952741
168	0.6506352126
169	0.6506352126
170	0.6505585685
