iter	Passed	Remaining
0	116	81695
1	247	86543
2	365	84817
3	463	80620
4	572	79526
5	681	78783
6	772	76508
7	881	76268
8	965	74100
9	1062	73282
10	1175	73608
11	1258	72129
12	1357	71726
13	1459	71496
14	1570	71708
15	1677	71700
16	1775	71348
17	1890	71643
18	1996	71574
19	2118	72036
20	2239	72413
21	2353	72516
22	2476	72882
23	2607	73446
24	2741	74022
25	2867	74347
26	3024	75379
27	3159	75839
28	3291	76149
29	3447	77000
30	3573	77123
31	3698	77203
32	3810	77016
33	3905	76508
34	3999	75987
35	4107	75764
36	4181	74935
37	4276	74496
38	4388	74380
39	4485	74003
40	4607	74049
41	4725	74026
42	4836	73902
43	4932	73546
44	5021	73088
45	5107	72618
46	5212	72425
47	5310	72135
48	5374	71405
49	5484	71298
50	5598	71238
51	5697	70997
52	5800	70811
53	5919	70814
54	6019	70595
55	6123	70414
56	6199	69931
57	6313	69880
58	6421	69762
59	6542	69784
60	6667	69843
61	6768	69652
62	6881	69580
63	6999	69561
64	7125	69609
65	7234	69495
66	7323	69194
67	7388	68668
68	7474	68353
69	7568	68119
70	7643	67715
71	7747	67579
72	7857	67486
73	7961	67352
74	8064	67200
75	8170	67086
76	8269	66905
77	8378	66813
78	8444	66383
79	8515	65991
80	8595	65689
81	8662	65283
82	8757	65099
83	8866	65019
84	8982	64992
85	9092	64915
86	9191	64763
87	9257	64384
88	9380	64397
89	9498	64378
90	9566	64019
91	9676	63948
92	9778	63821
93	9861	63577
94	9939	63299
95	10034	63131
96	10137	63018
97	10223	62804
98	10336	62747
99	10413	62481
100	10485	62187
101	10555	61885
102	10627	61596
103	10731	61502
104	10792	61155
105	10850	60804
106	10956	60719
107	11056	60607
108	11174	60586
109	11286	60537
110	11406	60527
111	11513	60446
112	11615	60338
113	11717	60232
114	11829	60174
115	11896	59892
116	11966	59627
117	12079	59579
118	12194	59539
119	12315	59524
120	12425	59457
121	12550	59461
122	12674	59455
123	12755	59249
124	12861	59165
125	12957	59028
126	13071	58975
127	13155	58789
128	13237	58594
129	13331	58453
130	13418	58281
131	13560	58351
132	13678	58313
133	13785	58228
134	13902	58182
135	14019	58137
136	14140	58111
137	14212	57878
138	14318	57790
139	14435	57742
140	14502	57495
141	14585	57316
142	14658	57097
143	14769	57028
144	14879	56952
145	14963	56780
146	15068	56686
147	15144	56484
148	15238	56352
149	15360	56321
150	15463	56220
151	15567	56126
152	15654	55965
153	15731	55775
154	15846	55718
155	15963	55668
156	16044	55491
157	16167	55462
158	16291	55432
159	16402	55359
160	16521	55310
161	16631	55233
162	16738	55144
163	16845	55056
164	16987	55080
165	17101	55012
166	17226	54979
167	17290	54752
168	17413	54712
169	17478	54490
170	17594	54428
171	17668	54238
172	17741	54046
173	17849	53959
174	17919	53759
175	18012	53628
176	18094	53464
177	18195	53358
178	18302	53270
179	18408	53180
180	18519	53103
181	18600	52941
182	18711	52863
183	18828	52802
184	18889	52585
185	18999	52504
186	19104	52409
187	19206	52305
188	19315	52222
189	19406	52090
190	19515	52006
191	19623	51920
192	19729	51827
193	19849	51773
194	19960	51692
195	20028	51501
196	20130	51398
197	20233	51298
198	20341	51212
199	20412	51031
200	20515	50930
201	20606	50801
202	20722	50733
203	20822	50626
204	20929	50537
205	21054	50489
206	21163	50403
207	21243	50250
208	21356	50172
209	21481	50122
210	21604	50069
211	21723	50005
212	21790	49821
213	21882	49695
214	22000	49628
215	22104	49530
216	22227	49474
217	22350	49417
218	22470	49353
219	22581	49268
220	22682	49162
221	22786	49063
222	22868	48915
223	22984	48842
224	23101	48769
225	23208	48676
226	23313	48578
227	23427	48499
228	23540	48418
229	23646	48321
230	23759	48238
231	23864	48139
232	23959	48020
233	24062	47918
234	24174	47833
235	24288	47754
236	24395	47658
237	24489	47538
238	24581	47415
239	24669	47283
240	24762	47162
241	24872	47072
242	24977	46973
243	25086	46883
244	25209	46817
245	25321	46731
246	25433	46645
247	25535	46539
248	25643	46447
249	25753	46357
250	25872	46281
251	25976	46180
252	26081	46080
253	26195	45996
254	26312	45918
255	26436	45850
256	26544	45755
257	26667	45686
258	26781	45601
259	26890	45507
260	27000	45414
261	27115	45330
262	27228	45243
263	27337	45148
264	27450	45060
265	27572	44987
266	27676	44883
267	27792	44799
268	27913	44723
269	28011	44611
270	28119	44514
271	28222	44408
272	28333	44315
273	28448	44230
274	28561	44140
275	28678	44056
276	28776	43944
277	28893	43860
278	29003	43765
279	29097	43646
280	29204	43547
281	29330	43475
282	29480	43440
283	29613	43377
284	29737	43302
285	29851	43212
286	29967	43124
287	30088	43043
288	30207	42959
289	30289	42823
290	30378	42696
291	30488	42600
292	30596	42500
293	30696	42389
294	30780	42258
295	30866	42128
296	30967	42019
297	31062	41902
298	31180	41817
299	31279	41705
300	31388	41607
301	31486	41495
302	31597	41399
303	31719	41318
304	31832	41225
305	31906	41082
306	31991	40953
307	32101	40855
308	32206	40753
309	32338	40684
310	32427	40560
311	32516	40436
312	32607	40316
313	32720	40223
314	32808	40099
315	32913	39996
316	33005	39877
317	33099	39761
318	33195	39647
319	33275	39514
320	33360	39388
321	33447	39264
322	33540	39147
323	33620	39016
324	33723	38911
325	33818	38798
326	33925	38697
327	33999	38560
328	34103	38457
329	34195	38340
330	34316	38256
331	34415	38146
332	34539	38066
333	34654	37975
334	34742	37853
335	34831	37733
336	34924	37619
337	35021	37507
338	35116	37394
339	35214	37285
340	35301	37165
341	35392	37047
342	35498	36947
343	35620	36862
344	35734	36770
345	35861	36690
346	35991	36613
347	36112	36527
348	36210	36417
349	36334	36334
350	36462	36254
351	36571	36155
352	36686	36063
353	36806	35975
354	36927	35887
355	37031	35783
356	37157	35700
357	37287	35620
358	37399	35524
359	37508	35424
360	37622	35329
361	37713	35213
362	37827	35118
363	37945	35026
364	38059	34931
365	38148	34812
366	38242	34699
367	38364	34611
368	38482	34519
369	38592	34420
370	38696	34315
371	38805	34215
372	38907	34109
373	39020	34012
374	39134	33916
375	39242	33815
376	39349	33713
377	39463	33617
378	39576	33519
379	39697	33429
380	39830	33349
381	39945	33253
382	40056	33153
383	40165	33053
384	40278	32955
385	40392	32857
386	40508	32763
387	40613	32658
388	40707	32545
389	40815	32442
390	40931	32347
391	41035	32242
392	41145	32141
393	41256	32041
394	41370	31944
395	41472	31837
396	41606	31754
397	41717	31655
398	41830	31556
399	41939	31454
400	42037	31344
401	42134	31233
402	42232	31124
403	42353	31031
404	42454	30923
405	42555	30815
406	42641	30697
407	42734	30584
408	42853	30489
409	42959	30386
410	43064	30281
411	43173	30179
412	43267	30067
413	43363	29956
414	43472	29854
415	43572	29746
416	43668	29636
417	43758	29521
418	43851	29408
419	43939	29293
420	44023	29174
421	44116	29062
422	44215	28954
423	44316	28847
424	44419	28742
425	44511	28629
426	44603	28516
427	44698	28406
428	44799	28300
429	44893	28188
430	45004	28088
431	45108	27983
432	45221	27884
433	45313	27773
434	45408	27662
435	45515	27560
436	45621	27456
437	45717	27346
438	45825	27244
439	45924	27137
440	46025	27031
441	46128	26925
442	46235	26822
443	46349	26723
444	46457	26621
445	46551	26511
446	46662	26410
447	46773	26309
448	46878	26205
449	46969	26093
450	47083	25995
451	47204	25899
452	47327	25805
453	47441	25706
454	47544	25600
455	47657	25500
456	47772	25401
457	47874	25296
458	47985	25195
459	48090	25090
460	48191	24984
461	48301	24882
462	48418	24784
463	48534	24685
464	48641	24582
465	48745	24477
466	48855	24375
467	48971	24276
468	49087	24177
469	49201	24077
470	49301	23970
471	49415	23870
472	49514	23762
473	49621	23659
474	49740	23561
475	49862	23464
476	49967	23360
477	50080	23259
478	50188	23155
479	50306	23056
480	50404	22949
481	50515	22847
482	50612	22739
483	50692	22622
484	50788	22514
485	50886	22406
486	50996	22304
487	51091	22195
488	51212	22097
489	51317	21993
490	51419	21887
491	51523	21782
492	51635	21680
493	51774	21590
494	51895	21492
495	52017	21394
496	52125	21290
497	52241	21190
498	52356	21089
499	52463	20985
500	52571	20881
501	52682	20779
502	52790	20675
503	52901	20572
504	53020	20473
505	53127	20369
506	53244	20268
507	53345	20162
508	53445	20055
509	53558	19953
510	53668	19850
511	53779	19747
512	53892	19645
513	54006	19543
514	54116	19439
515	54229	19337
516	54331	19231
517	54436	19126
518	54537	19019
519	54639	18913
520	54743	18808
521	54839	18700
522	54947	18595
523	55064	18494
524	55151	18383
525	55251	18277
526	55367	18175
527	55467	18069
528	55591	17970
529	55693	17864
530	55811	17762
531	55926	17660
532	56043	17559
533	56141	17452
534	56251	17348
535	56366	17246
536	56484	17145
537	56591	17040
538	56697	16935
539	56803	16830
540	56932	16732
541	57043	16628
542	57158	16526
543	57277	16425
544	57385	16320
545	57503	16218
546	57616	16115
547	57729	16012
548	57834	15907
549	57940	15801
550	58056	15699
551	58169	15596
552	58287	15494
553	58404	15391
554	58530	15291
555	58650	15189
556	58765	15087
557	58893	14987
558	59014	14885
559	59129	14782
560	59232	14676
561	59353	14574
562	59478	14473
563	59591	14369
564	59706	14266
565	59830	14164
566	59950	14062
567	60077	13961
568	60189	13857
569	60316	13756
570	60422	13650
571	60543	13548
572	60634	13439
573	60747	13334
574	60855	13229
575	60960	13123
576	61055	13015
577	61183	12914
578	61309	12812
579	61433	12710
580	61546	12605
581	61653	12500
582	61774	12397
583	61900	12295
584	62015	12191
585	62116	12084
586	62222	11978
587	62320	11870
588	62415	11762
589	62536	11659
590	62647	11554
591	62761	11449
592	62886	11347
593	62999	11242
594	63105	11136
595	63198	11027
596	63311	10923
597	63425	10818
598	63527	10711
599	63618	10603
600	63725	10497
601	63839	10392
602	63943	10286
603	64040	10178
604	64142	10071
605	64240	9964
606	64342	9858
607	64452	9752
608	64561	9647
609	64659	9539
610	64763	9433
611	64877	9328
612	64984	9222
613	65095	9117
614	65206	9012
615	65304	8905
616	65408	8798
617	65518	8693
618	65622	8587
619	65738	8482
620	65855	8377
621	65959	8271
622	66055	8164
623	66160	8057
624	66267	7952
625	66370	7845
626	66478	7739
627	66583	7633
628	66680	7526
629	66766	7418
630	66858	7310
631	66971	7205
632	67074	7099
633	67177	6993
634	67289	6887
635	67405	6782
636	67519	6677
637	67632	6572
638	67725	6465
639	67808	6357
640	67908	6250
641	68012	6144
642	68123	6038
643	68238	5933
644	68326	5826
645	68433	5720
646	68538	5614
647	68650	5508
648	68743	5402
649	68851	5296
650	68956	5190
651	69071	5084
652	69180	4979
653	69295	4874
654	69405	4768
655	69509	4662
656	69620	4556
657	69730	4450
658	69827	4344
659	69928	4238
660	70039	4132
661	70141	4026
662	70249	3920
663	70363	3814
664	70464	3708
665	70578	3603
666	70685	3497
667	70792	3391
668	70896	3285
669	71010	3179
670	71111	3073
671	71218	2967
672	71311	2860
673	71416	2754
674	71521	2648
675	71619	2542
676	71729	2436
677	71850	2331
678	71953	2225
679	72064	2119
680	72182	2013
681	72295	1908
682	72403	1802
683	72517	1696
684	72631	1590
685	72739	1484
686	72833	1378
687	72931	1272
688	73034	1166
689	73134	1059
690	73239	953
691	73336	847
692	73427	741
693	73534	635
694	73640	529
695	73769	423
696	73884	318
697	73984	211
698	74098	106
699	74224	0
